note_number,measure_number,beat_pos,midi_pitch,duration,time_signature,onsets
1,8,1.0,48.0,3.0,3.0,21.0
2,10,1.0,43.0,2.0,3.0,27.0
3,10,3.0,43.0,1.0,3.0,29.0
4,11,1.0,55.0,1.0,3.0,30.0
5,11,2.0,52.0,0.5,3.0,31.0
6,11,2.5,53.0,0.5,3.0,31.5
7,11,3.0,55.0,1.0,3.0,32.0
8,12,1.0,50.0,2.0,3.0,33.0
9,12,3.0,50.0,1.0,3.0,35.0
10,13,1.0,43.0,1.0,3.0,36.0
11,13,2.0,48.0,1.0,3.0,37.0
12,13,3.0,46.0,1.0,3.0,38.0
13,14,1.0,45.0,1.0,3.0,39.0
14,14,2.0,50.0,0.5,3.0,40.0
15,14,2.5,48.0,0.5,3.0,40.5
16,14,3.0,45.0,1.0,3.0,41.0
17,15,1.0,43.0,3.0,3.0,42.0
18,17,1.0,43.0,1.0,3.0,48.0
19,17,2.0,45.0,1.0,3.0,49.0
20,17,3.0,43.0,1.0,3.0,50.0
21,18,1.0,50.0,0.5,3.0,51.0
22,18,1.5,52.0,0.25,3.0,51.5
23,18,1.75,53.0,0.25,3.0,51.75
24,18,2.0,55.0,0.5,3.0,52.0
25,18,2.5,52.0,0.5,3.0,52.5
26,18,3.0,50.0,1.0,3.0,53.0
27,19,1.0,52.0,1.0,3.0,54.0
28,19,2.0,48.0,2.0,3.0,55.0
29,20,1.0,48.0,1.0,3.0,57.0
30,20,2.0,46.0,1.0,3.0,58.0
31,20,3.0,48.0,0.75,3.0,59.0
32,20,3.75,50.0,0.25,3.0,59.75
33,21,1.0,52.0,0.5,3.0,60.0
34,21,1.5,55.0,0.5,3.0,60.5
35,21,2.0,53.0,1.0,3.0,61.0
36,21,3.0,55.0,1.0,3.0,62.0
37,22,1.0,52.0,0.5,3.0,63.0
38,22,1.5,48.0,0.5,3.0,63.5
39,22,2.0,52.0,0.5,3.0,64.0
40,22,2.5,53.0,0.5,3.0,64.5
41,22,3.0,50.0,1.0,3.0,65.0
42,23,1.0,48.0,1.0,3.0,66.0
43,23,2.0,43.0,1.0,3.0,67.0
44,23,3.0,48.0,1.0,3.0,68.0
45,24,1.5,45.0,0.5,3.0,69.5
46,24,2.0,46.0,0.5,3.0,70.0
47,24,2.5,48.0,0.5,3.0,70.5
48,24,3.0,50.0,1.0,3.0,71.0
49,25,1.0,48.0,2.0,3.0,72.0
50,27,3.0,46.0,1.0,3.0,80.0
51,28,1.0,48.0,1.0,3.0,81.0
52,28,2.0,50.0,2.0,3.0,82.0
53,29,1.0,43.0,1.0,3.0,84.0
54,29,2.0,46.0,1.0,3.0,85.0
55,29,3.0,45.0,0.5,3.0,86.0
56,29,3.5,50.0,0.5,3.0,86.5
57,30,1.5,48.0,1.0,3.0,87.5
58,30,2.5,46.0,0.5,3.0,88.5
59,30,3.0,45.0,1.0,3.0,89.0
60,31,1.0,43.0,2.0,3.0,90.0
61,31,3.0,48.0,0.75,3.0,92.0
62,31,3.75,50.0,0.25,3.0,92.75
63,32,1.0,52.0,1.0,3.0,93.0
64,32,2.0,48.0,1.0,3.0,94.0
65,33,1.0,48.0,3.0,3.0,96.0
