note_number,measure_number,beat_pos,midi_pitch,duration,time_signature,onsets
1,7,1.0,55.0,3.0,3.0,18.0
2,8,1.0,60.0,3.0,3.0,21.0
3,9,1.0,60.0,3.0,3.0,24.0
4,10,1.0,59.0,3.0,3.0,27.0
5,12,1.0,57.0,3.0,3.0,33.0
6,13,1.0,55.0,3.0,3.0,36.0
7,14,1.0,57.0,3.0,3.0,39.0
8,15,1.0,59.0,3.0,3.0,42.0
9,16,1.0,57.0,3.0,3.0,45.0
10,17,1.0,55.0,1.0,3.0,48.0
11,17,2.0,52.0,0.5,3.0,49.0
12,17,2.5,53.0,0.5,3.0,49.5
13,17,3.0,55.0,1.0,3.0,50.0
14,18,1.0,57.0,0.5,3.0,51.0
15,18,1.5,60.0,0.5,3.0,51.5
16,18,2.0,59.0,0.5,3.0,52.0
17,18,2.5,55.0,0.5,3.0,52.5
18,18,3.0,57.0,1.0,3.0,53.0
19,19,1.0,55.0,3.0,3.0,54.0
20,20,1.0,55.0,3.0,3.0,57.0
21,23,1.0,55.0,3.0,3.0,66.0
22,24,1.0,52.0,1.0,3.0,69.0
23,24,2.0,50.0,0.5,3.0,70.0
24,24,2.5,55.0,1.0,3.0,70.5
25,24,3.5,53.0,0.5,3.0,71.5
26,25,1.0,55.0,2.0,3.0,72.0
27,25,3.0,53.0,1.0,3.0,74.0
28,26,1.0,55.0,0.5,3.0,75.0
29,26,1.5,57.0,0.5,3.0,75.5
30,26,2.0,50.0,0.5,3.0,76.0
31,26,2.5,53.0,0.5,3.0,76.5
32,26,3.0,52.0,1.0,3.0,77.0
33,27,1.0,50.0,2.0,3.0,78.0
34,27,3.0,50.0,1.0,3.0,80.0
35,28,1.0,52.0,1.0,3.0,81.0
36,28,2.0,53.0,2.0,3.0,82.0
37,29,1.0,55.0,1.0,3.0,84.0
38,29,2.0,53.0,0.5,3.0,85.0
39,29,2.5,55.0,0.5,3.0,85.5
40,29,3.0,57.0,1.0,3.0,86.0
41,30,1.0,57.0,1.0,3.0,87.0
42,30,2.0,55.0,0.5,3.0,88.0
43,30,2.5,55.0,1.0,3.0,88.5
44,30,3.5,54.0,0.5,3.0,89.5
45,31,1.0,55.0,3.0,3.0,90.0
46,33,1.0,55.0,3.0,3.0,96.0
