note_label,measure_number,beat_pos,midi_pitch,duration,time_signature,onset
1,97.0,1.0,55.0,2.0,8.0,0.0
2,98.0,1.0,55.0,2.0,8.0,8.0
3,99.0,1.0,60.0,1.3333333333333333,8.0,16.0
4,99.0,2.3333333333333335,59.0,0.6666666666666666,8.0,21.333333333333332
5,100.0,1.0,57.0,1.0,8.0,24.0
6,100.0,2.0,55.0,1.0,8.0,28.0
7,101.0,1.0,57.0,2.0,8.0,32.0
8,102.0,1.0,55.0,1.0,8.0,40.0
9,102.0,2.0,53.0,1.0,8.0,44.0
10,103.0,1.0,55.0,1.0,8.0,48.0
11,103.0,2.0,57.0,1.0,8.0,52.0
12,104.0,1.5,55.0,0.5,8.0,58.0
13,104.0,2.0,55.0,0.5,8.0,60.0
14,104.0,2.5,53.0,0.5,8.0,62.0
15,105.0,1.0,57.0,2.0,8.0,64.0
16,107.0,1.0,55.0,2.0,8.0,80.0
17,108.0,1.0,53.0,2.0,8.0,88.0
18,109.0,1.0,55.0,2.0,8.0,96.0
19,110.0,1.0,57.0,2.0,8.0,104.0
20,111.0,1.0,57.0,1.5,8.0,112.0
21,111.0,2.5,59.0,0.5,8.0,118.0
22,112.0,1.0,60.0,1.0,8.0,120.0
23,112.0,2.0,62.0,1.0,8.0,124.0
24,113.0,1.5,60.0,0.5,8.0,130.0
25,113.0,2.0,60.0,1.0,8.0,132.0
26,114.0,2.0,59.0,1.0,8.0,140.0
27,115.0,1.0,60.0,2.0,8.0,144.0
28,119.0,1.0,57.0,1.0,8.0,176.0
29,119.0,2.0,59.0,1.0,8.0,180.0
30,120.0,1.0,60.0,1.0,8.0,184.0
31,120.0,2.0,57.0,1.0,8.0,188.0
32,121.0,1.0,57.0,1.0,8.0,192.0
33,121.0,2.0,55.0,1.0,8.0,196.0
34,122.0,1.0,53.0,2.0,8.0,200.0
35,123.0,1.0,55.0,1.0,8.0,208.0
36,123.0,2.0,55.0,1.0,8.0,212.0
37,124.0,2.0,54.0,1.0,8.0,220.0
38,125.0,1.0,55.0,2.0,8.0,224.0
39,127.0,1.0,55.0,2.0,8.0,240.0
40,128.0,1.0,55.0,1.0,8.0,248.0
41,128.0,2.0,57.0,1.0,8.0,252.0
42,129.0,1.5,55.0,0.5,8.0,258.0
43,129.0,2.0,53.0,1.0,8.0,260.0
44,130.0,1.0,52.0,2.0,8.0,264.0
45,131.0,1.0,50.0,2.0,8.0,272.0
46,132.0,1.0,53.0,2.0,8.0,280.0
47,133.0,1.0,55.0,2.0,8.0,288.0
48,134.0,1.0,57.0,2.0,8.0,296.0
49,135.0,1.0,57.0,1.0,8.0,304.0
50,135.0,2.0,55.0,1.0,8.0,308.0
51,136.0,2.0,55.0,1.0,8.0,316.0
52,137.0,1.0,55.0,1.5,8.0,320.0
53,137.0,2.5,52.0,0.5,8.0,326.0
54,138.0,1.0,53.0,1.0,8.0,328.0
55,138.0,2.0,52.0,1.0,8.0,332.0
56,139.0,1.5,50.0,0.5,8.0,338.0
57,139.0,2.0,50.0,1.0,8.0,340.0
58,140.0,2.0,48.0,1.0,8.0,348.0
59,141.0,1.0,50.0,2.0,8.0,352.0
60,143.0,1.0,53.0,2.0,8.0,368.0
61,144.0,1.0,53.0,2.0,8.0,376.0
62,145.0,1.0,55.0,2.0,8.0,384.0
63,147.0,1.0,55.0,2.0,8.0,400.0
64,149.0,1.0,55.0,2.0,8.0,416.0
