note_number,measure_number,beat_pos,midi_pitch,duration,time_signature,onsets
1,8,1.0,55.0,2.0,2.0,14.0
2,9,1.0,58.0,2.0,2.0,16.0
3,10,1.0,55.0,1.0,2.0,18.0
4,10,2.0,53.0,1.0,2.0,19.0
5,11,1.0,58.0,1.0,2.0,20.0
6,11,2.0,60.0,1.0,2.0,21.0
7,12,1.0,62.0,1.0,2.0,22.0
8,12,2.0,55.0,0.5,2.0,23.0
9,12,2.5,57.0,0.5,2.0,23.5
10,13,1.5,58.0,0.5,2.0,24.5
11,13,2.0,57.0,0.5,2.0,25.0
12,13,2.5,58.0,0.5,2.0,25.5
13,14,1.5,57.0,0.25,2.0,26.5
14,14,1.75,55.0,0.25,2.0,26.75
15,14,2.0,53.0,1.0,2.0,27.0
16,15,2.0,65.0,1.0,2.0,29.0
17,16,2.0,67.0,1.0,2.0,31.0
18,17,1.0,60.0,0.5,2.0,32.0
19,17,1.5,65.0,1.0,2.0,32.5
20,17,2.5,62.0,0.5,2.0,33.5
21,18,1.0,63.0,0.75,2.0,34.0
22,18,1.75,62.0,0.25,2.0,34.75
23,18,2.0,58.0,0.5,2.0,35.0
24,18,2.5,55.0,0.5,2.0,35.5
25,19,1.0,58.0,0.5,2.0,36.0
26,19,1.5,60.0,0.5,2.0,36.5
27,19,2.0,62.0,0.5,2.0,37.0
28,19,2.5,65.0,0.5,2.0,37.5
29,20,1.5,64.0,0.25,2.0,38.5
30,20,1.75,62.0,0.25,2.0,38.75
31,20,2.0,65.0,1.0,2.0,39.0
32,21,1.5,60.0,0.75,2.0,40.5
33,21,2.25,62.0,0.25,2.0,41.25
34,21,2.5,64.0,0.5,2.0,41.5
35,22,1.0,65.0,1.0,2.0,42.0
36,22,2.5,57.0,0.5,2.0,43.5
37,23,1.25,58.0,0.25,2.0,44.25
38,23,1.5,60.0,0.5,2.0,44.5
39,23,2.0,62.0,1.0,2.0,45.0
40,24,1.0,58.0,1.0,2.0,46.0
41,24,2.0,63.0,1.0,2.0,47.0
42,25,1.5,62.0,0.5,2.0,48.5
43,25,2.0,63.0,0.5,2.0,49.0
44,25,2.5,62.0,0.5,2.0,49.5
45,26,1.5,60.0,0.25,2.0,50.5
46,26,1.75,58.0,0.25,2.0,50.75
47,26,2.0,57.0,1.0,2.0,51.0
48,27,1.5,50.0,0.75,2.0,52.5
49,27,2.25,52.0,0.25,2.0,53.25
50,27,2.5,53.0,0.25,2.0,53.5
51,27,2.75,55.0,0.25,2.0,53.75
52,28,1.0,57.0,0.5,2.0,54.0
53,28,1.5,58.0,0.5,2.0,54.5
54,28,2.0,57.0,0.5,2.0,55.0
55,28,2.5,55.0,0.5,2.0,55.5
56,29,1.0,62.0,2.0,2.0,56.0
57,31,1.0,55.0,1.0,2.0,60.0
58,31,2.0,58.0,1.0,2.0,61.0
59,32,2.0,58.0,1.0,2.0,63.0
60,33,1.0,58.0,0.75,2.0,64.0
61,33,1.75,60.0,0.25,2.0,64.75
62,33,2.0,62.0,0.5,2.0,65.0
63,33,2.5,63.0,0.5,2.0,65.5
64,34,1.5,60.0,0.5,2.0,66.5
65,34,2.0,62.0,1.0,2.0,67.0
66,35,1.0,60.0,2.0,2.0,68.0
67,39,1.0,58.0,1.0,2.0,76.0
68,39,2.0,57.0,1.0,2.0,77.0
69,40,1.0,58.0,0.5,2.0,78.0
70,40,1.5,55.0,0.5,2.0,78.5
71,40,2.0,57.0,1.0,2.0,79.0
72,41,1.0,55.0,1.0,2.0,80.0
73,42,1.5,58.0,0.5,2.0,82.5
74,42,2.0,60.0,0.5,2.0,83.0
75,42,2.5,57.0,0.5,2.0,83.5
76,43,1.0,58.0,0.5,2.0,84.0
77,43,1.5,55.0,0.5,2.0,84.5
78,43,2.0,57.0,1.0,2.0,85.0
79,44,1.0,55.0,0.5,2.0,86.0
80,44,1.5,62.0,0.5,2.0,86.5
81,44,2.0,65.0,0.25,2.0,87.0
82,44,2.25,64.0,0.25,2.0,87.25
83,44,2.5,62.0,0.25,2.0,87.5
84,44,2.75,60.0,0.25,2.0,87.75
85,45,1.0,58.0,0.5,2.0,88.0
86,45,1.5,60.0,0.5,2.0,88.5
87,45,2.0,62.0,1.0,2.0,89.0
88,48,1.0,55.0,1.0,2.0,94.0
89,48,2.0,53.0,1.0,2.0,95.0
90,49,1.0,58.0,1.0,2.0,96.0
91,49,2.0,60.0,0.5,2.0,97.0
92,49,2.5,62.0,0.5,2.0,97.5
93,50,1.5,60.0,0.25,2.0,98.5
