note_number,measure_number,beat_pos,midi_pitch,duration,time_signature,onsets
1,9,1.0,43.0,2.0,2.0,16.0
2,10,1.0,46.0,2.0,2.0,18.0
3,11,1.0,43.0,1.0,2.0,20.0
4,11,2.0,41.0,1.0,2.0,21.0
5,12,1.0,46.0,1.0,2.0,22.0
6,12,2.0,48.0,1.0,2.0,23.0
7,13,1.0,50.0,2.0,2.0,24.0
8,16,2.0,55.0,1.0,2.0,31.0
9,17,1.0,53.0,0.75,2.0,32.0
10,17,1.75,52.0,0.25,2.0,32.75
11,17,2.0,50.0,1.0,2.0,33.0
12,18,1.0,48.0,0.75,2.0,34.0
13,18,1.75,46.0,0.25,2.0,34.75
14,18,2.0,43.0,1.0,2.0,35.0
15,20,1.0,55.0,1.0,2.0,38.0
16,20,2.0,53.0,1.0,2.0,39.0
17,21,1.0,58.0,0.5,2.0,40.0
18,21,1.5,57.0,0.75,2.0,40.5
19,21,2.25,58.0,0.25,2.0,41.25
20,21,2.5,55.0,0.5,2.0,41.5
21,22,1.0,53.0,1.0,2.0,42.0
22,22,2.0,55.0,0.5,2.0,43.0
23,22,2.5,53.0,0.5,2.0,43.5
24,23,1.25,55.0,0.25,2.0,44.25
25,23,1.5,52.0,0.5,2.0,44.5
26,23,2.0,50.0,1.0,2.0,45.0
27,24,1.0,51.0,1.5,2.0,46.0
28,24,2.5,50.0,0.5,2.0,47.5
29,25,1.0,48.0,0.5,2.0,48.0
30,25,1.5,46.0,0.5,2.0,48.5
31,25,2.0,48.0,0.5,2.0,49.0
32,25,2.5,43.0,0.5,2.0,49.5
33,26,1.0,46.0,0.75,2.0,50.0
34,26,1.75,48.0,0.25,2.0,50.75
35,26,2.0,50.0,1.0,2.0,51.0
36,28,1.0,50.0,0.75,2.0,54.0
37,28,1.75,52.0,0.25,2.0,54.75
38,28,2.0,53.0,0.5,2.0,55.0
39,28,2.5,55.0,0.5,2.0,55.5
40,29,1.0,50.0,0.5,2.0,56.0
41,29,1.5,55.0,1.0,2.0,56.5
42,29,2.5,54.0,0.5,2.0,57.5
43,30,1.0,55.0,2.0,2.0,58.0
44,33,1.0,43.0,0.75,2.0,64.0
45,33,1.75,45.0,0.25,2.0,64.75
46,33,2.0,46.0,0.5,2.0,65.0
47,33,2.5,48.0,0.5,2.0,65.5
48,34,1.0,43.0,0.5,2.0,66.0
49,34,1.5,48.0,1.0,2.0,66.5
50,34,2.5,47.0,0.5,2.0,67.5
51,35,1.0,48.0,0.75,2.0,68.0
52,35,1.75,50.0,0.25,2.0,68.75
53,35,2.0,52.0,0.5,2.0,69.0
54,35,2.5,53.0,0.5,2.0,69.5
55,36,1.0,48.0,0.5,2.0,70.0
56,36,1.5,53.0,1.0,2.0,70.5
57,36,2.5,52.0,0.5,2.0,71.5
58,37,1.0,53.0,0.75,2.0,72.0
59,37,1.75,55.0,0.25,2.0,72.75
60,37,2.0,57.0,0.5,2.0,73.0
61,37,2.5,58.0,0.5,2.0,73.5
62,38,1.0,53.0,0.5,2.0,74.0
63,38,1.5,58.0,1.0,2.0,74.5
64,38,2.5,57.0,0.5,2.0,75.5
65,39,1.0,58.0,0.5,2.0,76.0
66,39,1.5,55.0,1.0,2.0,76.5
67,39,2.5,53.0,0.5,2.0,77.5
68,40,1.0,55.0,1.0,2.0,78.0
69,40,2.0,53.0,1.0,2.0,79.0
70,41,1.0,55.0,1.0,2.0,80.0
71,41,2.0,53.0,1.0,2.0,81.0
72,42,1.0,55.0,1.0,2.0,82.0
73,42,2.0,53.0,1.0,2.0,83.0
74,43,1.0,55.0,1.0,2.0,84.0
75,43,2.0,53.0,1.0,2.0,85.0
76,44,1.0,55.0,1.0,2.0,86.0
77,44,2.0,53.0,1.0,2.0,87.0
78,45,1.0,55.0,0.5,2.0,88.0
