note_label,measure_number,beat_pos,midi_pitch,duration,time_signature,onset
1,8.0,1.0,55.0,2.0,8.0,56.0
2,9.0,1.0,58.0,2.0,8.0,64.0
3,10.0,1.0,55.0,1.0,8.0,72.0
4,10.0,2.0,53.0,1.0,8.0,76.0
5,11.0,1.0,58.0,1.0,8.0,80.0
6,11.0,2.0,60.0,1.0,8.0,84.0
7,12.0,1.0,62.0,1.0,8.0,88.0
8,12.0,2.0,55.0,0.5,8.0,92.0
9,12.0,2.5,57.0,0.5,8.0,94.0
10,13.0,1.5,58.0,0.5,8.0,98.0
11,13.0,2.0,57.0,0.5,8.0,100.0
12,13.0,2.5,58.0,0.5,8.0,102.0
13,14.0,1.5,57.0,0.25,8.0,106.0
14,14.0,1.75,55.0,0.25,8.0,107.0
15,14.0,2.0,53.0,1.0,8.0,108.0
16,15.0,2.0,65.0,1.0,8.0,116.0
17,16.0,2.0,67.0,1.0,8.0,124.0
18,17.0,1.0,60.0,0.5,8.0,128.0
19,17.0,1.5,65.0,1.0,8.0,130.0
20,17.0,2.5,62.0,0.5,8.0,134.0
21,18.0,1.0,63.0,0.75,8.0,136.0
22,18.0,1.75,62.0,0.25,8.0,139.0
23,18.0,2.0,58.0,0.5,8.0,140.0
24,18.0,2.5,55.0,0.5,8.0,142.0
25,19.0,1.0,58.0,0.5,8.0,144.0
26,19.0,1.5,60.0,0.5,8.0,146.0
27,19.0,2.0,62.0,0.5,8.0,148.0
28,19.0,2.5,65.0,0.5,8.0,150.0
29,20.0,1.5,64.0,0.25,8.0,154.0
30,20.0,1.75,62.0,0.25,8.0,155.0
31,20.0,2.0,65.0,1.0,8.0,156.0
32,21.0,1.5,60.0,0.75,8.0,162.0
33,21.0,2.25,62.0,0.25,8.0,165.0
34,21.0,2.5,64.0,0.5,8.0,166.0
35,22.0,1.0,65.0,1.0,8.0,168.0
36,22.0,2.5,57.0,0.5,8.0,174.0
37,23.0,1.25,58.0,0.25,8.0,177.0
38,23.0,1.5,60.0,0.5,8.0,178.0
39,23.0,2.0,62.0,1.0,8.0,180.0
40,24.0,1.0,58.0,1.0,8.0,184.0
41,24.0,2.0,63.0,1.0,8.0,188.0
42,25.0,1.5,62.0,0.5,8.0,194.0
43,25.0,2.0,63.0,0.5,8.0,196.0
44,25.0,2.5,62.0,0.5,8.0,198.0
45,26.0,1.5,60.0,0.25,8.0,202.0
46,26.0,1.75,58.0,0.25,8.0,203.0
47,26.0,2.0,57.0,1.0,8.0,204.0
48,27.0,1.5,50.0,0.75,8.0,210.0
49,27.0,2.25,52.0,0.25,8.0,213.0
50,27.0,2.5,53.0,0.25,8.0,214.0
51,27.0,2.75,55.0,0.25,8.0,215.0
52,28.0,1.0,57.0,0.5,8.0,216.0
53,28.0,1.5,58.0,0.5,8.0,218.0
54,28.0,2.0,57.0,0.5,8.0,220.0
55,28.0,2.5,55.0,0.5,8.0,222.0
56,29.0,1.0,62.0,2.0,8.0,224.0
57,31.0,1.0,55.0,1.0,8.0,240.0
58,31.0,2.0,58.0,1.0,8.0,244.0
59,32.0,2.0,58.0,1.0,8.0,252.0
60,33.0,1.0,58.0,0.75,8.0,256.0
61,33.0,1.75,60.0,0.25,8.0,259.0
62,33.0,2.0,62.0,0.5,8.0,260.0
63,33.0,2.5,63.0,0.5,8.0,262.0
64,34.0,1.5,60.0,0.5,8.0,266.0
65,34.0,2.0,62.0,1.0,8.0,268.0
66,35.0,1.0,60.0,2.0,8.0,272.0
67,39.0,1.0,58.0,1.0,8.0,304.0
68,39.0,2.0,57.0,1.0,8.0,308.0
69,40.0,1.0,58.0,0.5,8.0,312.0
70,40.0,1.5,55.0,0.5,8.0,314.0
71,40.0,2.0,57.0,1.0,8.0,316.0
72,41.0,1.0,55.0,1.0,8.0,320.0
73,42.0,1.5,58.0,0.5,8.0,330.0
74,42.0,2.0,60.0,0.5,8.0,332.0
75,42.0,2.5,57.0,0.5,8.0,334.0
76,43.0,1.0,58.0,0.5,8.0,336.0
77,43.0,1.5,55.0,0.5,8.0,338.0
78,43.0,2.0,57.0,1.0,8.0,340.0
79,44.0,1.0,55.0,0.5,8.0,344.0
80,44.0,1.5,62.0,0.5,8.0,346.0
81,44.0,2.0,65.0,0.25,8.0,348.0
