note_number,measure_number,beat_pos,midi_pitch,duration,time_signature,onsets
1,1,1.0,67.0,2.0,2.0,0.0
2,2,1.0,70.0,2.0,2.0,2.0
3,3,1.0,67.0,1.0,2.0,4.0
4,3,2.0,65.0,1.0,2.0,5.0
5,4,1.0,70.0,1.0,2.0,6.0
6,4,2.0,72.0,1.0,2.0,7.0
7,5,1.0,74.0,1.0,2.0,8.0
8,5,2.0,67.0,0.5,2.0,9.0
9,5,2.5,69.0,0.5,2.0,9.5
10,6,1.5,70.0,0.5,2.0,10.5
11,6,2.0,69.0,0.5,2.0,11.0
12,6,2.5,70.0,0.5,2.0,11.5
13,7,1.5,69.0,0.25,2.0,12.5
14,7,1.75,67.0,0.25,2.0,12.75
15,7,2.0,65.0,1.0,2.0,13.0
16,15,1.0,74.0,1.5,2.0,28.0
17,15,2.5,72.0,0.25,2.0,29.5
18,15,2.75,70.0,0.25,2.0,29.75
19,16,1.0,69.0,1.0,2.0,30.0
20,16,2.0,70.0,1.0,2.0,31.0
21,17,1.0,72.0,1.0,2.0,32.0
22,17,2.0,74.0,1.0,2.0,33.0
23,18,1.0,67.0,1.0,2.0,34.0
24,18,2.5,74.0,0.5,2.0,35.5
25,19,1.5,72.0,0.5,2.0,36.5
26,19,2.0,70.0,0.5,2.0,37.0
27,19,2.5,72.0,0.5,2.0,37.5
28,20,1.25,70.0,0.25,2.0,38.25
29,20,1.5,70.0,1.0,2.0,38.5
30,20,2.5,69.0,0.5,2.0,39.5
31,21,1.0,70.0,0.5,2.0,40.0
32,21,1.5,72.0,0.75,2.0,40.5
33,21,2.25,70.0,0.25,2.0,41.25
34,21,2.5,70.0,0.5,2.0,41.5
35,22,1.5,69.0,0.5,2.0,42.5
36,22,2.0,67.0,0.5,2.0,43.0
37,22,2.5,69.0,0.5,2.0,43.5
38,23,1.25,67.0,0.25,2.0,44.25
39,23,1.5,67.0,1.0,2.0,44.5
40,23,2.5,66.0,0.5,2.0,45.5
41,24,1.0,67.0,2.0,2.0,46.0
42,30,1.0,67.0,1.0,2.0,58.0
43,30,2.0,70.0,1.0,2.0,59.0
44,31,2.0,70.0,1.0,2.0,61.0
45,32,1.0,70.0,0.75,2.0,62.0
46,32,1.75,72.0,0.25,2.0,62.75
47,32,2.0,74.0,1.0,2.0,63.0
48,33,1.0,67.0,2.0,2.0,64.0
49,35,1.0,64.0,0.75,2.0,68.0
50,35,1.75,65.0,0.25,2.0,68.75
51,35,2.0,67.0,0.5,2.0,69.0
52,35,2.5,69.0,0.5,2.0,69.5
53,36,1.5,65.0,0.5,2.0,70.5
54,36,2.0,67.0,1.0,2.0,71.0
55,37,1.0,69.0,0.75,2.0,72.0
56,37,1.75,70.0,0.25,2.0,72.75
57,37,2.0,72.0,0.5,2.0,73.0
58,37,2.5,65.0,0.25,2.0,73.5
59,37,2.75,67.0,0.25,2.0,73.75
60,38,1.0,69.0,0.5,2.0,74.0
61,38,1.5,62.0,0.5,2.0,74.5
62,38,2.0,64.0,1.0,2.0,75.0
63,39,1.0,62.0,1.0,2.0,76.0
64,40,1.0,70.0,1.0,2.0,78.0
65,40,2.0,69.0,1.0,2.0,79.0
66,41,1.0,70.0,0.5,2.0,80.0
67,41,1.5,67.0,0.5,2.0,80.5
68,41,2.0,69.0,1.0,2.0,81.0
69,42,1.0,67.0,1.0,2.0,82.0
70,43,1.5,70.0,0.5,2.0,84.5
71,43,2.0,72.0,0.5,2.0,85.0
72,43,2.5,69.0,0.5,2.0,85.5
73,44,1.0,70.0,0.5,2.0,86.0
74,44,1.5,67.0,0.5,2.0,86.5
75,44,2.0,69.0,0.25,2.0,87.0
76,44,2.25,67.0,0.25,2.0,87.25
77,44,2.5,65.0,0.25,2.0,87.5
78,44,2.75,64.0,0.25,2.0,87.75
79,45,1.0,62.0,0.5,2.0,88.0
80,45,1.5,67.0,1.0,2.0,88.5
81,45,2.5,66.0,0.5,2.0,89.5
82,46,1.0,67.0,0.75,2.0,90.0
83,46,1.75,65.0,0.25,2.0,90.75
84,46,2.0,62.0,0.5,2.0,91.0
85,46,2.5,63.0,0.5,2.0,91.5
86,47,1.25,62.0,0.25,2.0,92.25
87,47,1.5,58.0,0.5,2.0,92.5
88,47,2.0,63.0,0.5,2.0,93.0
89,47,2.5,62.0,0.5,2.0,93.5
90,48,1.25,60.0,0.25,2.0,94.25
91,48,1.5,58.0,0.5,2.0,94.5
92,48,2.0,57.0,1.0,2.0,95.0
93,50,1.0,55.0,1.0,2.0,98.0
94,50,2.0,53.0,1.0,2.0,99.0
95,51,1.0,58.0,1.0,2.0,100.0
96,51,2.0,55.0,0.5,2.0,101.0
97,51,2.5,58.0,0.5,2.0,101.5
98,52,1.25,60.0,0.25,2.0,102.25
99,52,1.5,62.0,0.5,2.0,102.5
100,52,2.0,55.0,0.5,2.0,103.0
101,52,2.5,58.0,0.5,2.0,103.5
102,53,1.25,60.0,0.25,2.0,104.25
103,53,1.5,62.0,0.5,2.0,104.5
104,53,2.0,58.0,0.5,2.0,105.0
105,53,2.5,62.0,0.5,2.0,105.5
106,54,1.25,64.0,0.25,2.0,106.25
107,54,1.5,65.0,0.5,2.0,106.5
108,54,2.0,62.0,0.5,2.0,107.0
109,54,2.5,65.0,0.5,2.0,107.5
110,55,1.25,64.0,0.25,2.0,108.25
111,55,1.5,62.0,0.25,2.0,108.5
112,55,1.75,60.0,0.25,2.0,108.75
113,55,2.0,58.0,0.5,2.0,109.0
114,55,2.5,65.0,0.5,2.0,109.5
115,56,1.0,67.0,0.5,2.0,110.0
116,56,1.5,69.0,0.5,2.0,110.5
117,56,2.0,70.0,0.5,2.0,111.0
118,56,2.5,67.0,0.5,2.0,111.5
119,57,1.0,69.0,1.0,2.0,112.0
120,57,2.0,62.0,1.0,2.0,113.0
121,61,1.0,64.0,1.5,2.0,120.0
122,61,2.5,62.0,0.25,2.0,121.5
123,61,2.75,60.0,0.25,2.0,121.75
124,62,1.0,64.0,1.0,2.0,122.0
125,62,2.0,62.0,1.0,2.0,123.0
126,63,1.5,62.0,0.5,2.0,124.5
127,63,2.0,62.0,0.5,2.0,125.0
128,63,2.5,62.0,0.5,2.0,125.5
129,64,1.0,65.0,0.75,2.0,126.0
130,64,1.75,67.0,0.25,2.0,126.75
131,64,2.0,69.0,1.0,2.0,127.0
132,65,1.5,69.0,1.0,2.0,128.5
133,65,2.5,67.0,0.5,2.0,129.5
134,66,1.0,69.0,0.5,2.0,130.0
