note_number,measure_number,beat_pos,midi_pitch,duration,time_signature,onsets
1,2,1.0,55.0,2.0,2.0,2.0
2,3,1.0,58.0,2.0,2.0,4.0
3,4,1.0,55.0,1.0,2.0,6.0
4,4,2.0,53.0,1.0,2.0,7.0
5,5,1.0,58.0,1.0,2.0,8.0
6,5,2.0,60.0,1.0,2.0,9.0
7,6,1.0,62.0,2.0,2.0,10.0
8,16,1.0,62.0,1.5,2.0,30.0
9,16,2.5,60.0,0.25,2.0,31.5
10,16,2.75,58.0,0.25,2.0,31.75
11,17,1.0,57.0,1.0,2.0,32.0
12,17,2.0,58.0,1.0,2.0,33.0
13,18,1.0,60.0,1.0,2.0,34.0
14,18,2.0,62.0,1.0,2.0,35.0
15,19,1.0,55.0,1.5,2.0,36.0
16,19,2.5,53.0,0.5,2.0,37.5
17,20,1.0,58.0,1.0,2.0,38.0
18,20,2.0,60.0,1.0,2.0,39.0
19,21,1.0,62.0,0.5,2.0,40.0
20,21,1.5,63.0,0.75,2.0,40.5
21,21,2.25,62.0,0.25,2.0,41.25
22,21,2.5,58.0,0.5,2.0,41.5
23,22,1.0,60.0,1.0,2.0,42.0
24,22,2.0,58.0,0.5,2.0,43.0
25,22,2.5,60.0,0.5,2.0,43.5
26,23,1.25,58.0,0.25,2.0,44.25
27,23,1.5,55.0,0.5,2.0,44.5
28,23,2.0,57.0,1.0,2.0,45.0
29,24,1.0,55.0,2.0,2.0,46.0
30,26,1.0,50.0,1.0,2.0,50.0
31,26,2.0,53.0,1.0,2.0,51.0
32,27,2.0,53.0,1.0,2.0,53.0
33,28,1.0,53.0,0.75,2.0,54.0
34,28,1.75,55.0,0.25,2.0,54.75
35,28,2.0,57.0,0.5,2.0,55.0
36,28,2.5,58.0,0.5,2.0,55.5
37,29,1.5,57.0,0.25,2.0,56.5
38,29,1.75,55.0,0.25,2.0,56.75
39,29,2.0,57.0,1.0,2.0,57.0
40,30,1.0,55.0,2.0,2.0,58.0
41,35,1.5,55.0,1.0,2.0,68.5
42,35,2.5,53.0,0.5,2.0,69.5
43,36,1.0,60.0,0.5,2.0,70.0
44,36,1.5,57.0,0.5,2.0,70.5
45,36,2.0,55.0,1.0,2.0,71.0
46,37,1.0,53.0,0.5,2.0,72.0
47,37,1.5,65.0,0.75,2.0,72.5
48,37,2.25,64.0,0.25,2.0,73.25
49,37,2.5,62.0,0.5,2.0,73.5
50,38,1.0,60.0,0.5,2.0,74.0
51,38,1.5,58.0,0.5,2.0,74.5
52,38,2.0,60.0,1.0,2.0,75.0
53,41,1.0,58.0,1.0,2.0,80.0
54,41,2.0,57.0,1.0,2.0,81.0
55,42,1.0,58.0,0.5,2.0,82.0
56,42,1.5,55.0,0.5,2.0,82.5
57,42,2.0,57.0,1.0,2.0,83.0
58,43,1.0,55.0,1.0,2.0,84.0
59,44,1.5,58.0,0.5,2.0,86.5
60,44,2.0,60.0,0.5,2.0,87.0
61,44,2.5,57.0,0.5,2.0,87.5
62,45,1.0,58.0,0.5,2.0,88.0
63,45,1.5,55.0,0.5,2.0,88.5
64,45,2.0,57.0,1.0,2.0,89.0
65,46,1.0,55.0,2.0,2.0,90.0
66,49,1.0,55.0,1.0,2.0,96.0
67,49,2.0,53.0,1.0,2.0,97.0
68,50,1.0,58.0,1.0,2.0,98.0
69,50,2.0,60.0,1.0,2.0,99.0
70,51,1.0,62.0,2.0,2.0,100.0
71,55,1.0,62.0,1.0,2.0,108.0
72,55,2.0,62.0,1.0,2.0,109.0
73,56,1.5,60.0,0.5,2.0,110.5
74,56,2.0,62.0,0.5,2.0,111.0
75,56,2.5,64.0,0.5,2.0,111.5
76,57,1.0,65.0,1.5,2.0,112.0
77,57,2.5,64.0,0.5,2.0,113.5
78,58,1.0,62.0,0.5,2.0,114.0
79,58,1.5,60.0,0.5,2.0,114.5
80,58,2.0,64.0,0.5,2.0,115.0
81,58,2.5,62.0,0.5,2.0,115.5
82,59,1.0,65.0,1.0,2.0,116.0
83,59,2.0,64.0,0.5,2.0,117.0
84,59,2.5,62.0,0.5,2.0,117.5
85,60,1.25,55.0,0.25,2.0,118.25
86,60,1.5,60.0,1.0,2.0,118.5
87,60,2.5,59.0,0.5,2.0,119.5
88,61,1.0,60.0,2.0,2.0,120.0
89,62,1.5,55.0,0.5,2.0,122.5
90,62,2.0,55.0,0.5,2.0,123.0
91,62,2.5,55.0,0.5,2.0,123.5
92,63,1.0,58.0,0.75,2.0,124.0
93,63,1.75,60.0,0.25,2.0,124.75
94,63,2.0,62.0,1.0,2.0,125.0
95,64,2.5,62.0,0.5,2.0,127.5
96,65,1.5,60.0,0.5,2.0,128.5
97,65,2.0,62.0,0.5,2.0,129.0
98,65,2.5,58.0,0.5,2.0,129.5
99,66,1.0,57.0,1.0,2.0,130.0
100,68,2.0,55.0,1.0,2.0,135.0
101,69,1.0,62.0,1.0,2.0,136.0
102,70,1.5,62.0,0.75,2.0,138.5
103,70,2.25,60.0,0.25,2.0,139.25
104,70,2.5,58.0,0.5,2.0,139.5
105,71,1.0,57.0,0.5,2.0,140.0
106,71,1.5,58.0,0.75,2.0,140.5
107,71,2.25,57.0,0.25,2.0,141.25
108,71,2.5,55.0,0.5,2.0,141.5
109,72,1.0,53.0,0.5,2.0,142.0
110,72,1.5,55.0,0.5,2.0,142.5
111,72,2.0,57.0,1.0,2.0,143.0
112,73,1.0,55.0,2.0,2.0,144.0
