note_number,measure_number,beat_pos,midi_pitch,duration,time_signature,onsets
1,1,1.0,55.0,1.5,3.0,0.0
2,1,2.5,57.0,0.5,3.0,1.5
3,1,3.0,59.0,1.0,3.0,2.0
4,2,1.0,60.0,1.0,3.0,3.0
5,2,2.0,62.0,2.0,3.0,4.0
6,3,1.0,60.0,2.0,3.0,6.0
7,3,3.0,60.0,1.0,3.0,8.0
8,4,1.0,59.0,1.0,3.0,9.0
9,4,2.0,57.0,2.0,3.0,10.0
10,5,1.0,55.0,1.5,3.0,12.0
11,5,2.5,53.0,0.5,3.0,13.5
12,5,3.0,50.0,1.0,3.0,14.0
13,6,2.0,57.0,2.0,3.0,16.0
14,7,1.0,55.0,1.0,3.0,18.0
15,7,2.0,52.0,1.0,3.0,19.0
16,7,3.0,53.0,0.75,3.0,20.0
17,7,3.75,52.0,0.25,3.0,20.75
18,8,1.0,55.0,1.0,3.0,21.0
19,8,2.0,50.0,1.0,3.0,22.0
20,8,3.0,55.0,1.0,3.0,23.0
21,9,1.0,53.0,2.0,3.0,24.0
22,9,3.0,52.0,1.0,3.0,26.0
23,10,1.0,50.0,1.0,3.0,27.0
24,11,1.0,62.0,2.0,3.0,30.0
25,11,3.0,60.0,1.0,3.0,32.0
26,12,1.0,60.0,1.5,3.0,33.0
27,12,2.5,59.0,0.5,3.0,34.5
28,12,3.0,57.0,1.0,3.0,35.0
29,13,1.0,55.0,1.0,3.0,36.0
30,13,2.0,52.0,2.0,3.0,37.0
31,14,1.0,50.0,2.0,3.0,39.0
32,14,3.0,50.0,0.5,3.0,41.0
33,14,3.5,52.0,0.5,3.0,41.5
34,15,1.0,53.0,1.0,3.0,42.0
35,15,2.0,55.0,0.5,3.0,43.0
36,15,2.5,52.0,0.5,3.0,43.5
37,15,3.0,50.0,1.0,3.0,44.0
38,16,1.0,48.0,0.5,3.0,45.0
39,16,1.5,52.0,0.5,3.0,45.5
40,16,2.0,50.0,0.5,3.0,46.0
41,16,2.5,55.0,1.0,3.0,46.5
42,16,3.5,53.0,0.5,3.0,47.5
43,17,1.0,55.0,0.5,3.0,48.0
44,17,1.5,52.0,0.5,3.0,48.5
45,17,2.0,53.0,0.5,3.0,49.0
46,17,2.5,55.0,1.0,3.0,49.5
47,17,3.5,57.0,0.5,3.0,50.5
48,18,1.0,55.0,0.5,3.0,51.0
49,18,1.5,60.0,0.75,3.0,51.5
50,18,2.25,59.0,0.25,3.0,52.25
51,18,2.5,60.0,0.5,3.0,52.5
52,18,3.0,62.0,1.0,3.0,53.0
53,19,1.0,59.0,0.5,3.0,54.0
54,19,1.5,60.0,0.75,3.0,54.5
55,19,2.25,59.0,0.25,3.0,55.25
56,19,2.5,55.0,0.5,3.0,55.5
57,19,3.0,57.0,1.0,3.0,56.0
58,20,1.0,55.0,1.0,3.0,57.0
59,20,3.0,48.0,1.0,3.0,59.0
60,21,1.0,52.0,1.0,3.0,60.0
61,21,2.0,50.0,2.0,3.0,61.0
62,22,1.0,48.0,1.0,3.0,63.0
63,22,2.0,55.0,2.0,3.0,64.0
64,23,1.0,57.0,1.0,3.0,66.0
65,23,2.0,55.0,0.5,3.0,67.0
66,23,2.5,60.0,1.0,3.0,67.5
67,23,3.5,59.0,0.5,3.0,68.5
68,24,1.0,60.0,1.0,3.0,69.0
69,24,2.0,57.0,0.5,3.0,70.0
70,24,2.5,59.0,0.5,3.0,70.5
71,24,3.0,60.0,1.0,3.0,71.0
72,25,1.0,53.0,1.0,3.0,72.0
73,25,2.0,52.0,0.5,3.0,73.0
74,25,2.5,50.0,1.0,3.0,73.5
75,25,3.5,48.0,0.5,3.0,74.5
76,26,1.0,53.0,0.75,3.0,75.0
77,26,1.75,52.0,0.25,3.0,75.75
78,26,2.0,48.0,1.0,3.0,76.0
79,26,3.0,53.0,1.0,3.0,77.0
80,27,1.0,57.0,1.0,3.0,78.0
81,27,2.0,55.0,2.0,3.0,79.0
82,28,1.0,53.0,2.0,3.0,81.0
83,29,1.0,57.0,2.0,3.0,84.0
84,29,3.0,59.0,1.0,3.0,86.0
85,30,1.0,60.0,0.5,3.0,87.0
86,30,1.5,57.0,1.0,3.0,87.5
87,30,2.5,53.0,0.5,3.0,88.5
88,30,3.0,55.0,1.0,3.0,89.0
89,31,1.0,57.0,0.5,3.0,90.0
90,31,1.5,53.0,1.0,3.0,90.5
91,31,2.5,57.0,0.5,3.0,91.5
92,31,3.0,59.0,0.5,3.0,92.0
93,31,3.5,60.0,0.5,3.0,92.5
94,32,1.5,53.0,0.5,3.0,93.5
95,32,2.0,55.0,0.5,3.0,94.0
96,32,2.5,52.0,0.5,3.0,94.5
97,32,3.0,50.0,1.0,3.0,95.0
98,33,1.0,48.0,0.5,3.0,96.0
99,33,1.5,53.0,0.5,3.0,96.5
100,33,2.0,52.0,0.5,3.0,97.0
101,33,2.5,48.0,0.5,3.0,97.5
102,33,3.0,50.0,1.0,3.0,98.0
103,34,1.0,48.0,3.0,3.0,99.0
104,35,2.0,50.0,2.0,3.0,103.0
105,36,1.0,52.0,0.75,3.0,105.0
106,36,1.75,53.0,0.25,3.0,105.75
107,36,2.0,55.0,0.5,3.0,106.0
108,36,2.5,60.0,0.5,3.0,106.5
109,36,3.0,57.0,0.5,3.0,107.0
110,36,3.5,59.0,0.5,3.0,107.5
111,37,1.0,60.0,2.0,3.0,108.0
112,37,3.5,60.0,0.5,3.0,110.5
113,38,1.0,59.0,0.5,3.0,111.0
114,38,1.5,57.0,0.75,3.0,111.5
115,38,2.25,55.0,0.25,3.0,112.25
116,38,2.5,55.0,1.0,3.0,112.5
117,38,3.5,54.0,0.5,3.0,113.5
118,39,1.0,55.0,1.0,3.0,114.0
119,39,2.0,62.0,1.0,3.0,115.0
120,39,3.0,59.0,1.0,3.0,116.0
121,40,1.0,55.0,2.0,3.0,117.0
122,40,3.0,57.0,1.0,3.0,119.0
123,41,2.0,59.0,1.5,3.0,121.0
124,41,3.5,57.0,0.5,3.0,122.5
125,42,1.0,60.0,1.0,3.0,123.0
126,42,2.0,62.0,1.0,3.0,124.0
127,42,3.0,50.0,1.0,3.0,125.0
128,43,1.0,52.0,2.0,3.0,126.0
129,43,3.0,52.0,1.0,3.0,128.0
130,44,1.0,53.0,0.75,3.0,129.0
131,44,1.75,55.0,0.25,3.0,129.75
132,44,2.0,57.0,1.0,3.0,130.0
133,44,3.0,50.0,0.5,3.0,131.0
134,44,3.5,53.0,0.5,3.0,131.5
135,45,1.5,52.0,0.5,3.0,132.5
136,45,2.0,55.0,1.0,3.0,133.0
137,46,1.0,48.0,1.0,3.0,135.0
138,46,2.0,52.0,1.0,3.0,136.0
139,46,3.0,50.0,1.0,3.0,137.0
140,47,1.0,52.0,1.5,3.0,138.0
141,47,2.5,48.0,0.5,3.0,139.5
142,47,3.0,48.0,1.0,3.0,140.0
