note_label,measure_number,beat_pos,midi_pitch,duration,time_signature,onset
1,5.0,1.0,43.0,3.0,12.0,48.0
2,6.0,1.0,45.0,2.0,12.0,60.0
3,6.0,3.0,45.0,0.5,12.0,68.0
4,6.0,3.5,46.0,0.5,12.0,70.0
5,7.0,1.0,48.0,1.5,12.0,72.0
6,7.0,2.5,46.0,0.5,12.0,78.0
7,7.0,3.0,45.0,1.0,12.0,80.0
8,8.0,1.0,43.0,3.0,12.0,84.0
9,9.0,1.0,50.0,2.0,12.0,96.0
10,9.0,3.0,52.0,1.0,12.0,104.0
11,10.0,1.0,53.0,1.0,12.0,108.0
12,10.0,2.0,55.0,2.0,12.0,112.0
13,11.0,1.0,50.0,2.0,12.0,120.0
14,11.0,3.0,45.0,0.5,12.0,128.0
15,11.0,3.5,46.0,0.5,12.0,130.0
16,12.0,1.0,48.0,2.0,12.0,132.0
17,12.0,3.0,50.0,1.0,12.0,140.0
18,13.0,1.0,43.0,1.0,12.0,144.0
19,13.0,2.0,48.0,2.0,12.0,148.0
20,14.0,1.0,43.0,3.0,12.0,156.0
21,35.0,1.0,43.0,3.0,12.0,408.0
22,36.0,1.0,48.0,2.0,12.0,420.0
23,36.0,3.0,50.0,1.0,12.0,428.0
24,37.0,1.0,48.0,2.0,12.0,432.0
25,37.0,3.0,52.0,1.0,12.0,440.0
26,38.0,1.0,50.0,0.5,12.0,444.0
27,38.0,1.5,48.0,1.0,12.0,446.0
28,38.0,2.5,46.0,0.5,12.0,450.0
29,38.0,3.0,45.0,1.0,12.0,452.0
30,39.0,1.0,43.0,2.0,12.0,456.0
31,39.0,3.0,43.0,0.5,12.0,464.0
32,39.0,3.5,45.0,0.5,12.0,466.0
33,40.0,1.0,46.0,2.0,12.0,468.0
34,40.0,3.0,45.0,1.0,12.0,476.0
35,41.0,2.0,50.0,2.0,12.0,484.0
36,42.0,1.0,48.0,1.0,12.0,492.0
37,42.0,2.0,46.0,2.0,12.0,496.0
38,43.0,1.0,45.0,3.0,12.0,504.0
39,44.0,1.0,50.0,2.0,12.0,516.0
40,44.0,3.0,50.0,1.0,12.0,524.0
41,45.0,1.0,45.0,1.0,12.0,528.0
42,45.0,2.0,43.0,1.0,12.0,532.0
43,45.0,3.0,50.0,1.0,12.0,536.0
44,46.0,1.0,52.0,1.0,12.0,540.0
45,46.0,2.0,48.0,1.0,12.0,544.0
46,46.0,3.0,43.0,1.0,12.0,548.0
47,47.0,1.0,48.0,3.0,12.0,552.0
