note_number,measure_number,beat_pos,midi_pitch,duration,time_signature,onsets
1,5,1.0,43.0,3.0,3.0,12.0
2,6,1.0,45.0,2.0,3.0,15.0
3,6,3.0,45.0,0.5,3.0,17.0
4,6,3.5,46.0,0.5,3.0,17.5
5,7,1.0,48.0,1.5,3.0,18.0
6,7,2.5,46.0,0.5,3.0,19.5
7,7,3.0,45.0,1.0,3.0,20.0
8,8,1.0,43.0,3.0,3.0,21.0
9,9,1.0,50.0,2.0,3.0,24.0
10,9,3.0,52.0,1.0,3.0,26.0
11,10,1.0,53.0,1.0,3.0,27.0
12,10,2.0,55.0,2.0,3.0,28.0
13,11,1.0,50.0,2.0,3.0,30.0
14,11,3.0,45.0,0.5,3.0,32.0
15,11,3.5,46.0,0.5,3.0,32.5
16,12,1.0,48.0,2.0,3.0,33.0
17,12,3.0,50.0,1.0,3.0,35.0
18,13,1.0,43.0,1.0,3.0,36.0
19,13,2.0,48.0,2.0,3.0,37.0
20,14,1.0,43.0,3.0,3.0,39.0
21,35,1.0,43.0,3.0,3.0,102.0
22,36,1.0,48.0,2.0,3.0,105.0
23,36,3.0,50.0,1.0,3.0,107.0
24,37,1.0,48.0,2.0,3.0,108.0
25,37,3.0,52.0,1.0,3.0,110.0
26,38,1.0,50.0,0.5,3.0,111.0
27,38,1.5,48.0,1.0,3.0,111.5
28,38,2.5,46.0,0.5,3.0,112.5
29,38,3.0,45.0,1.0,3.0,113.0
30,39,1.0,43.0,2.0,3.0,114.0
31,39,3.0,43.0,0.5,3.0,116.0
32,39,3.5,45.0,0.5,3.0,116.5
33,40,1.0,46.0,2.0,3.0,117.0
34,40,3.0,45.0,1.0,3.0,119.0
35,41,2.0,50.0,2.0,3.0,121.0
36,42,1.0,48.0,1.0,3.0,123.0
37,42,2.0,46.0,2.0,3.0,124.0
38,43,1.0,45.0,3.0,3.0,126.0
39,44,1.0,50.0,2.0,3.0,129.0
40,44,3.0,50.0,1.0,3.0,131.0
41,45,1.0,45.0,1.0,3.0,132.0
42,45,2.0,43.0,1.0,3.0,133.0
43,45,3.0,50.0,1.0,3.0,134.0
44,46,1.0,52.0,1.0,3.0,135.0
45,46,2.0,48.0,1.0,3.0,136.0
46,46,3.0,43.0,1.0,3.0,137.0
47,47,1.0,48.0,3.0,3.0,138.0
