note_number,measure_number,beat_pos,midi_pitch,duration,time_signature,onsets
1,1,1.0,55.0,1.5,3.0,0.0
2,1,2.5,57.0,0.5,3.0,1.5
3,1,3.0,59.0,1.0,3.0,2.0
4,2,1.0,60.0,1.0,3.0,3.0
5,2,2.0,62.0,1.5,3.0,4.0
6,2,3.5,60.0,0.5,3.0,5.5
7,3,1.0,60.0,2.0,3.0,6.0
8,3,3.0,57.0,1.0,3.0,8.0
9,4,1.0,59.0,1.0,3.0,9.0
10,4,2.0,60.0,1.5,3.0,10.0
11,4,3.5,59.0,0.5,3.0,11.5
12,5,1.0,55.0,2.0,3.0,12.0
13,5,3.0,55.0,0.5,3.0,14.0
14,5,3.5,52.0,0.5,3.0,14.5
15,6,1.0,54.0,1.0,3.0,15.0
16,6,2.0,55.0,2.0,3.0,16.0
17,7,1.0,59.0,1.0,3.0,18.0
18,7,2.0,60.0,0.5,3.0,19.0
19,7,2.5,57.0,0.5,3.0,19.5
20,7,3.0,55.0,0.5,3.0,20.0
21,7,3.5,60.0,0.5,3.0,20.5
22,8,1.5,62.0,0.5,3.0,21.5
23,8,2.0,59.0,0.5,3.0,22.0
24,8,2.5,55.0,0.5,3.0,22.5
25,8,3.0,57.0,1.0,3.0,23.0
26,9,1.0,59.0,0.5,3.0,24.0
27,9,1.5,60.0,1.0,3.0,24.5
28,9,2.5,59.0,0.5,3.0,25.5
29,9,3.0,57.0,1.0,3.0,26.0
30,10,1.0,55.0,2.0,3.0,27.0
31,11,1.0,60.0,1.0,3.0,30.0
32,11,2.0,59.0,0.5,3.0,31.0
33,11,2.5,57.0,1.0,3.0,31.5
34,11,3.5,55.0,0.5,3.0,32.5
35,12,1.0,57.0,1.0,3.0,33.0
36,12,2.0,52.0,0.5,3.0,34.0
37,12,2.5,55.0,0.5,3.0,34.5
38,12,3.0,53.0,1.0,3.0,35.0
39,13,1.0,52.0,1.0,3.0,36.0
40,13,2.0,57.0,1.0,3.0,37.0
41,13,3.0,55.0,0.75,3.0,38.0
42,13,3.75,52.0,0.25,3.0,38.75
43,14,1.0,53.0,0.5,3.0,39.0
44,14,1.5,55.0,0.5,3.0,39.5
45,14,2.0,48.0,1.0,3.0,40.0
46,14,3.0,50.0,1.0,3.0,41.0
47,15,1.0,48.0,0.5,3.0,42.0
48,15,1.5,53.0,1.0,3.0,42.5
49,15,2.5,52.0,0.5,3.0,43.5
50,15,3.0,50.0,1.0,3.0,44.0
51,16,1.0,48.0,2.0,3.0,45.0
52,16,3.0,55.0,1.0,3.0,47.0
53,17,1.0,57.0,1.0,3.0,48.0
54,17,2.0,59.0,1.0,3.0,49.0
55,17,3.0,57.0,0.5,3.0,50.0
56,17,3.5,60.0,0.5,3.0,50.5
57,18,1.5,59.0,0.5,3.0,51.5
58,18,2.0,55.0,1.5,3.0,52.0
59,18,3.5,53.0,0.5,3.0,53.5
60,19,1.0,55.0,0.5,3.0,54.0
61,19,1.5,59.0,0.5,3.0,54.5
62,19,2.0,57.0,2.0,3.0,55.0
63,20,1.0,55.0,3.0,3.0,57.0
64,22,1.0,55.0,1.0,3.0,63.0
65,22,2.0,55.0,1.0,3.0,64.0
66,22,3.0,57.0,1.0,3.0,65.0
67,23,1.0,55.0,1.5,3.0,66.0
68,23,2.5,52.0,1.0,3.0,67.5
69,23,3.5,53.0,0.5,3.0,68.5
70,24,1.0,55.0,0.5,3.0,69.0
71,24,1.5,57.0,1.0,3.0,69.5
72,24,2.5,55.0,0.5,3.0,70.5
73,24,3.0,52.0,0.5,3.0,71.0
74,24,3.5,53.0,0.5,3.0,71.5
75,25,1.0,55.0,2.0,3.0,72.0
76,26,1.0,62.0,1.0,3.0,75.0
77,26,2.0,62.0,1.0,3.0,76.0
78,26,3.0,62.0,1.0,3.0,77.0
79,27,1.0,62.0,2.0,3.0,78.0
80,27,3.0,60.0,0.5,3.0,80.0
81,27,3.5,58.0,0.5,3.0,80.5
82,28,1.0,62.0,2.0,3.0,81.0
83,28,3.0,62.0,1.0,3.0,83.0
84,29,1.0,58.0,2.0,3.0,84.0
85,29,3.0,58.0,1.0,3.0,86.0
86,30,1.0,57.0,1.0,3.0,87.0
87,30,2.0,53.0,1.0,3.0,88.0
88,30,3.0,50.0,1.0,3.0,89.0
89,31,2.0,62.0,2.0,3.0,91.0
90,32,1.0,62.0,1.0,3.0,93.0
91,32,2.0,62.0,2.0,3.0,94.0
92,33,1.0,60.0,1.0,3.0,96.0
93,33,2.0,62.0,1.5,3.0,97.0
94,33,3.5,60.0,0.5,3.0,98.5
95,34,1.0,58.0,1.0,3.0,99.0
96,34,2.0,57.0,1.0,3.0,100.0
97,34,3.0,62.0,1.0,3.0,101.0
98,35,1.0,62.0,3.0,3.0,102.0
99,36,3.0,55.0,1.0,3.0,107.0
100,37,1.0,57.0,1.0,3.0,108.0
101,37,2.0,59.0,1.5,3.0,109.0
102,37,3.5,57.0,0.5,3.0,110.5
103,38,1.0,60.0,1.0,3.0,111.0
104,38,2.0,59.0,0.5,3.0,112.0
105,38,2.5,55.0,0.5,3.0,112.5
106,38,3.0,57.0,0.5,3.0,113.0
107,38,3.5,59.0,0.5,3.0,113.5
108,39,1.0,55.0,1.0,3.0,114.0
109,39,2.0,57.0,0.5,3.0,115.0
110,39,2.5,55.0,1.0,3.0,115.5
111,39,3.5,53.0,0.5,3.0,116.5
112,40,1.0,55.0,0.5,3.0,117.0
113,40,1.5,52.0,0.5,3.0,117.5
114,40,2.0,48.0,0.5,3.0,118.0
115,40,2.5,60.0,1.0,3.0,118.5
116,40,3.5,59.0,0.5,3.0,119.5
117,41,1.0,60.0,0.5,3.0,120.0
118,41,1.5,64.0,0.5,3.0,120.5
119,41,2.0,62.0,0.5,3.0,121.0
120,41,2.5,60.0,1.0,3.0,121.5
121,41,3.5,59.0,0.5,3.0,122.5
122,42,1.0,60.0,0.75,3.0,123.0
123,42,1.75,59.0,0.25,3.0,123.75
124,42,2.0,57.0,0.5,3.0,124.0
125,42,2.5,55.0,0.75,3.0,124.5
126,42,3.25,53.0,0.25,3.0,125.25
127,42,3.5,52.0,0.5,3.0,125.5
128,43,1.0,50.0,0.5,3.0,126.0
129,43,1.5,53.0,0.5,3.0,126.5
130,43,2.0,58.0,0.5,3.0,127.0
131,43,2.5,57.0,0.5,3.0,127.5
132,43,3.0,55.0,0.5,3.0,128.0
133,43,3.5,60.0,0.5,3.0,128.5
134,44,1.0,58.0,0.5,3.0,129.0
135,44,1.5,57.0,0.75,3.0,129.5
136,44,2.25,55.0,0.25,3.0,130.25
137,44,2.5,55.0,1.0,3.0,130.5
138,44,3.5,54.0,0.5,3.0,131.5
139,45,1.0,55.0,2.0,3.0,132.0
140,46,1.0,60.0,1.0,3.0,135.0
141,46,2.0,59.0,0.5,3.0,136.0
142,46,2.5,60.0,0.5,3.0,136.5
143,46,3.0,62.0,1.0,3.0,137.0
144,47,1.0,64.0,0.5,3.0,138.0
145,47,1.5,60.0,1.0,3.0,138.5
146,47,2.5,59.0,0.5,3.0,139.5
147,47,3.0,57.0,1.0,3.0,140.0
148,48,1.0,55.0,1.0,3.0,141.0
149,48,2.0,55.0,0.5,3.0,142.0
150,48,2.5,52.0,0.5,3.0,142.5
151,48,3.0,57.0,0.25,3.0,143.0
152,48,3.25,55.0,0.25,3.0,143.25
153,48,3.5,53.0,0.5,3.0,143.5
154,49,1.0,52.0,0.5,3.0,144.0
155,49,2.0,52.0,0.5,3.0,145.0
156,49,2.5,55.0,0.5,3.0,145.5
157,49,3.0,52.0,0.5,3.0,146.0
