note_label,measure_number,beat_pos,midi_pitch,duration,time_signature,onset
1,34.0,1.0,60.0,1.5,8.0,0.0
2,34.0,2.5,62.0,0.5,8.0,6.0
3,35.0,1.0,64.0,1.0,8.0,8.0
4,35.0,2.0,65.0,1.0,8.0,12.0
5,36.0,1.0,67.0,2.0,8.0,16.0
6,37.0,2.0,69.0,1.0,8.0,28.0
7,38.0,1.0,67.0,1.0,8.0,32.0
8,38.0,2.0,64.0,1.0,8.0,36.0
9,39.0,2.0,65.0,1.0,8.0,44.0
10,40.0,1.0,67.0,2.0,8.0,48.0
11,41.0,1.0,60.0,2.0,8.0,56.0
12,42.0,2.0,59.0,1.0,8.0,68.0
13,43.0,1.0,60.0,1.0,8.0,72.0
14,43.0,2.0,64.0,1.0,8.0,76.0
15,44.0,1.0,62.0,2.0,8.0,80.0
16,45.0,1.0,60.0,2.0,8.0,88.0
17,46.0,2.0,65.0,1.0,8.0,100.0
18,47.0,1.0,64.0,1.0,8.0,104.0
19,47.0,2.0,60.0,1.0,8.0,108.0
20,48.0,1.0,62.0,2.0,8.0,112.0
21,49.0,1.0,64.0,2.0,8.0,120.0
22,50.0,2.0,69.0,1.0,8.0,132.0
23,51.0,1.0,67.0,1.0,8.0,136.0
24,51.0,2.0,64.0,1.0,8.0,140.0
25,52.0,1.0,65.0,2.0,8.0,144.0
26,53.0,1.0,67.0,2.0,8.0,152.0
27,54.0,2.0,72.0,1.0,8.0,164.0
28,55.0,1.0,71.0,1.0,8.0,168.0
29,55.0,2.0,67.0,1.0,8.0,172.0
30,56.0,1.0,69.0,2.0,8.0,176.0
31,57.0,1.0,67.0,1.0,8.0,184.0
32,57.0,2.0,64.0,1.0,8.0,188.0
33,58.0,1.5,62.0,0.5,8.0,194.0
34,58.0,2.0,60.0,1.0,8.0,196.0
35,59.0,1.0,59.0,1.0,8.0,200.0
36,59.0,2.0,60.0,1.0,8.0,204.0
37,60.0,1.0,62.0,0.5,8.0,208.0
38,60.0,1.5,60.0,0.75,8.0,210.0
39,60.0,2.25,59.0,0.25,8.0,213.0
40,60.0,2.5,57.0,0.5,8.0,214.0
41,61.0,1.0,55.0,1.0,8.0,216.0
42,61.0,2.0,57.0,1.0,8.0,220.0
43,62.0,1.0,59.0,1.5,8.0,224.0
44,62.0,2.5,57.0,0.5,8.0,230.0
45,63.0,1.0,60.0,2.0,8.0,232.0
46,68.0,2.0,60.0,2.0,12.0,280.0
47,68.0,1.0,60.0,1.0,12.0,288.0
48,69.0,2.0,59.0,2.0,12.0,296.0
49,70.0,1.0,60.0,3.0,12.0,304.0
50,71.0,2.0,65.0,1.0,12.0,320.0
51,71.0,3.0,64.0,1.0,12.0,324.0
