note_label,measure_number,beat_pos,midi_pitch,duration,time_signature,onset
1,1.0,1.0,55.0,2.0,8.0,0.0
2,2.0,1.0,53.0,1.0,8.0,8.0
3,2.0,2.0,55.0,1.0,8.0,12.0
4,3.0,1.0,58.0,1.5,8.0,16.0
5,3.0,2.5,57.0,0.25,8.0,22.0
6,3.0,2.75,55.0,0.25,8.0,23.0
7,4.0,1.0,53.0,0.5,8.0,24.0
8,4.0,1.5,52.0,0.25,8.0,26.0
9,4.0,1.75,50.0,0.25,8.0,27.0
10,4.0,2.0,48.0,1.0,8.0,28.0
11,5.0,1.0,46.0,1.0,8.0,32.0
12,8.0,1.0,55.0,2.0,8.0,56.0
13,9.0,1.0,53.0,1.0,8.0,64.0
14,9.0,2.0,55.0,1.0,8.0,68.0
15,10.0,1.0,58.0,1.5,8.0,72.0
16,10.0,2.5,57.0,0.25,8.0,78.0
17,10.0,2.75,55.0,0.25,8.0,79.0
18,11.0,1.0,53.0,0.5,8.0,80.0
19,11.0,1.5,52.0,0.25,8.0,82.0
20,11.0,1.75,50.0,0.25,8.0,83.0
21,11.0,2.0,48.0,1.0,8.0,84.0
22,12.0,1.0,46.0,1.0,8.0,88.0
23,12.0,2.0,43.0,1.0,8.0,92.0
24,14.0,2.0,58.0,1.0,8.0,108.0
25,15.0,2.0,57.0,1.0,8.0,116.0
26,16.0,1.0,55.0,2.0,8.0,120.0
27,17.0,1.0,50.0,2.0,8.0,128.0
28,22.0,1.0,55.0,1.0,8.0,184.0
29,22.0,2.0,55.0,1.0,8.0,188.0
30,22.0,3.0,55.0,1.0,8.0,192.0
31,23.0,1.0,55.0,2.0,8.0,196.0
32,23.0,3.0,53.0,1.0,8.0,204.0
33,24.0,1.0,50.0,1.0,8.0,208.0
34,24.0,2.0,52.0,1.0,8.0,212.0
35,24.0,3.0,50.0,1.0,8.0,216.0
36,25.0,1.0,43.0,2.0,8.0,220.0
37,26.0,1.0,50.0,3.0,8.0,232.0
38,27.0,1.0,51.0,3.0,8.0,244.0
39,28.0,1.0,53.0,3.0,8.0,256.0
40,29.0,1.0,48.0,3.0,8.0,268.0
41,30.0,1.0,46.0,1.0,8.0,280.0
42,30.0,2.0,46.0,1.0,8.0,284.0
43,30.0,3.0,46.0,1.0,8.0,288.0
44,31.0,1.0,53.0,2.0,8.0,292.0
45,31.0,3.0,46.0,1.0,8.0,300.0
46,32.0,1.0,53.0,1.0,8.0,304.0
47,32.0,2.0,50.0,1.0,8.0,308.0
48,32.0,3.0,52.0,1.0,8.0,312.0
49,33.0,1.0,53.0,1.0,8.0,316.0
50,33.0,2.0,50.0,1.0,8.0,320.0
51,34.0,1.0,53.0,1.0,8.0,328.0
52,34.0,2.0,53.0,1.0,8.0,332.0
53,34.0,3.0,53.0,1.0,8.0,336.0
54,35.0,1.0,46.0,2.0,8.0,340.0
55,35.0,3.0,53.0,1.0,8.0,348.0
56,36.0,1.0,55.0,1.0,8.0,352.0
57,36.0,2.0,48.0,1.0,8.0,356.0
58,36.0,3.0,50.0,1.0,8.0,360.0
59,37.0,1.0,51.0,1.0,8.0,364.0
60,37.0,2.0,48.0,1.0,8.0,368.0
61,38.0,1.0,50.0,3.0,8.0,376.0
62,39.0,1.0,55.0,3.0,8.0,388.0
63,40.0,1.0,50.0,3.0,8.0,400.0
64,41.0,1.0,43.0,3.0,8.0,412.0
