note_label,measure_number,beat_pos,midi_pitch,duration,time_signature,onset
1,1,1.0,67.0,3.0,12.0,0.0
2,2,1.0,64.0,1.0,12.0,12.0
3,2,2.0,65.0,1.5,12.0,16.0
4,2,3.5,64.0,0.5,12.0,22.0
5,3,1.0,64.0,1.0,12.0,24.0
6,3,2.0,69.0,1.5,12.0,28.0
7,3,3.5,67.0,0.5,12.0,34.0
8,4,1.0,67.0,1.5,12.0,36.0
9,4,2.5,66.0,0.5,12.0,42.0
10,4,3.0,66.0,0.5,12.0,44.0
11,4,3.5,64.0,0.5,12.0,46.0
12,5,1.0,67.0,1.0,12.0,48.0
13,5,2.0,64.0,1.0,12.0,52.0
14,5,3.0,65.0,1.0,12.0,56.0
15,6,1.0,64.0,0.5,12.0,60.0
16,6,1.5,62.0,0.75,12.0,62.0
17,6,2.25,60.0,0.25,12.0,65.0
18,6,2.5,60.0,1.0,12.0,66.0
19,6,3.5,59.0,0.5,12.0,70.0
20,7,1.0,60.0,2.0,12.0,72.0
21,8,1.0,64.0,1.5,12.0,84.0
22,8,2.5,65.0,0.5,12.0,90.0
23,8,3.0,67.0,1.0,12.0,92.0
24,9,1.0,69.0,0.5,12.0,96.0
25,9,1.5,67.0,1.0,12.0,98.0
26,9,2.5,65.0,0.5,12.0,102.0
27,9,3.0,64.0,1.0,12.0,104.0
28,10,1.0,62.0,3.0,12.0,108.0
29,11,1.0,64.0,3.0,12.0,120.0
30,12,1.0,65.0,2.0,12.0,132.0
31,12,3.0,65.0,1.0,12.0,140.0
32,13,1.0,67.0,0.75,12.0,144.0
33,13,1.75,65.0,0.25,12.0,147.0
34,13,2.0,64.0,0.5,12.0,148.0
35,13,2.5,60.0,0.5,12.0,150.0
36,13,3.0,62.0,1.0,12.0,152.0
37,14,1.0,64.0,1.0,12.0,156.0
38,14,2.0,65.0,0.5,12.0,160.0
39,14,2.5,64.0,0.5,12.0,162.0
40,14,3.0,60.0,1.0,12.0,164.0
41,15,1.0,62.0,1.0,12.0,168.0
42,15,3.0,62.0,0.5,12.0,176.0
43,15,3.5,64.0,0.5,12.0,178.0
44,16,1.0,65.0,1.5,12.0,180.0
45,16,2.5,67.0,0.5,12.0,186.0
46,16,3.0,69.0,1.0,12.0,188.0
47,17,1.0,71.0,1.0,12.0,192.0
48,17,2.0,72.0,0.5,12.0,196.0
49,17,2.5,69.0,0.5,12.0,198.0
50,17,3.0,71.0,1.0,12.0,200.0
51,18,1.0,69.0,1.0,12.0,204.0
52,18,2.0,67.0,0.5,12.0,208.0
53,18,2.5,67.0,1.0,12.0,210.0
54,18,3.5,66.0,0.5,12.0,214.0
55,19,1.0,67.0,1.0,12.0,216.0
56,19,2.5,64.0,1.0,12.0,222.0
57,19,3.5,60.0,0.5,12.0,226.0
58,20,1.0,64.0,0.75,12.0,228.0
59,20,1.75,65.0,0.25,12.0,231.0
60,20,2.0,62.0,1.0,12.0,232.0
61,20,3.0,64.0,0.5,12.0,236.0
62,20,3.5,60.0,0.5,12.0,238.0
63,21,1.25,59.0,0.25,12.0,241.0
64,21,1.5,60.0,0.5,12.0,242.0
65,21,2.0,62.0,0.5,12.0,244.0
66,21,2.5,59.0,0.5,12.0,246.0
67,21,3.0,60.0,1.0,12.0,248.0
68,22,1.0,67.0,0.75,12.0,252.0
69,22,1.75,65.0,0.25,12.0,255.0
70,22,2.0,67.0,0.5,12.0,256.0
71,22,2.5,69.0,0.5,12.0,258.0
72,22,3.0,65.0,1.0,12.0,260.0
73,23,1.0,64.0,1.0,12.0,264.0
74,25,1.0,64.0,2.0,12.0,288.0
75,25,3.0,65.0,0.5,12.0,296.0
76,25,3.5,62.0,0.5,12.0,298.0
77,26,1.0,64.0,1.0,12.0,300.0
78,26,2.0,65.0,0.5,12.0,304.0
79,26,2.5,62.0,1.0,12.0,306.0
80,26,3.5,61.0,0.5,12.0,310.0
81,27,1.0,62.0,1.5,12.0,312.0
82,27,2.5,64.0,0.5,12.0,318.0
83,27,3.0,65.0,0.5,12.0,320.0
84,27,3.5,67.0,0.5,12.0,322.0
85,28,1.0,64.0,1.0,12.0,324.0
86,28,2.0,62.0,1.0,12.0,328.0
87,28,3.0,69.0,1.0,12.0,332.0
88,29,1.0,67.0,0.75,12.0,336.0
89,29,1.75,65.0,0.25,12.0,339.0
90,29,2.0,62.0,1.0,12.0,340.0
91,29,3.0,60.0,0.5,12.0,344.0
92,29,3.5,62.0,0.5,12.0,346.0
93,30,1.0,65.0,0.5,12.0,348.0
94,30,1.5,64.0,0.5,12.0,350.0
95,30,2.0,60.0,0.5,12.0,352.0
96,30,2.5,62.0,0.5,12.0,354.0
97,30,3.0,60.0,0.5,12.0,356.0
98,30,3.5,57.0,0.5,12.0,358.0
99,31,1.0,59.0,1.0,12.0,360.0
100a,31,2.0,55.0,1.0,12.0,364.0
100b,31,2.0,62.0,1.0,12.0,364.0
101,31,3.5,67.0,0.5,12.0,370.0
102,32,1.25,65.0,0.25,12.0,373.0
103,32,1.5,67.0,0.5,12.0,374.0
104,32,2.0,64.0,0.5,12.0,376.0
105,32,2.5,60.0,0.5,12.0,378.0
106,32,3.0,62.0,1.0,12.0,380.0
107,33,1.0,64.0,1.5,12.0,384.0
108,33,2.5,60.0,0.5,12.0,390.0
109,33,3.0,60.0,1.0,12.0,392.0
