note_label,measure_number,beat_pos,midi_pitch,duration,time_signature,onset
1,4.0,1.5,65.0,0.5,8.0,26.0
2,4.0,2.0,67.0,0.5,8.0,28.0
3,4.0,2.5,69.0,0.5,8.0,30.0
4,5.0,1.0,70.0,1.5,8.0,32.0
5,5.0,2.5,69.0,0.5,8.0,38.0
6,6.0,1.0,67.0,1.0,8.0,40.0
7,6.0,2.0,66.0,1.0,8.0,44.0
8,7.0,1.0,67.0,2.0,8.0,48.0
9,11.0,1.5,65.0,0.5,8.0,82.0
10,11.0,2.0,67.0,0.5,8.0,84.0
11,11.0,2.5,69.0,0.5,8.0,86.0
12,12.0,1.0,70.0,1.5,8.0,88.0
13,12.0,2.5,69.0,0.5,8.0,94.0
14,13.0,1.0,67.0,1.0,8.0,96.0
15,13.0,2.0,66.0,1.0,8.0,100.0
16,14.0,1.0,67.0,2.0,8.0,104.0
17,15.0,1.0,55.0,1.0,8.0,112.0
18,15.0,2.0,57.0,1.0,8.0,116.0
19,16.0,1.0,58.0,2.0,8.0,120.0
20,17.0,1.0,57.0,2.0,8.0,128.0
21,18.0,1.0,62.0,1.0,12.0,136.0
22,18.0,2.0,62.0,1.0,12.0,140.0
23,18.0,3.0,62.0,1.0,12.0,144.0
24,19.0,1.0,62.0,2.0,12.0,148.0
25,19.0,3.0,62.0,1.0,12.0,156.0
26,20.0,1.0,62.0,2.0,12.0,160.0
27,20.0,3.0,64.0,1.0,12.0,168.0
28,21.0,1.0,60.0,2.0,12.0,172.0
29,22.0,1.0,58.0,1.0,12.0,184.0
30,22.0,2.0,58.0,1.0,12.0,188.0
31,22.0,3.0,58.0,1.0,12.0,192.0
32,23.0,1.0,62.0,1.5,12.0,196.0
33,23.0,2.5,64.0,0.5,12.0,202.0
34,23.0,3.0,65.0,1.0,12.0,204.0
35,24.0,1.0,65.0,1.0,12.0,208.0
36,24.0,2.0,60.0,1.0,12.0,212.0
37,24.0,3.0,62.0,1.0,12.0,216.0
38,25.0,1.0,58.0,2.0,12.0,220.0
39,26.0,1.0,62.0,3.0,12.0,232.0
40,27.0,1.0,58.0,3.0,12.0,244.0
41,28.0,1.0,65.0,3.0,12.0,256.0
42,29.0,1.0,64.0,3.0,12.0,268.0
43,30.0,1.0,65.0,1.0,12.0,280.0
44,30.0,2.0,65.0,1.0,12.0,284.0
45,30.0,3.0,65.0,1.0,12.0,288.0
46,31.0,1.0,65.0,2.0,12.0,292.0
47,31.0,3.0,65.0,1.0,12.0,300.0
48,32.0,1.0,65.0,2.0,12.0,304.0
49,32.0,3.0,64.0,1.0,12.0,312.0
50,33.0,1.0,60.0,1.0,12.0,316.0
51,33.0,2.0,62.0,1.0,12.0,320.0
52,34.0,1.0,57.0,1.0,12.0,328.0
53,34.0,2.0,57.0,1.0,12.0,332.0
54,34.0,3.0,57.0,1.0,12.0,336.0
55,35.0,1.0,65.0,2.0,12.0,340.0
56,35.0,3.0,65.0,1.0,12.0,348.0
57,36.0,1.0,62.0,1.0,12.0,352.0
58,36.0,2.0,64.0,1.0,12.0,356.0
59,36.0,3.0,62.0,1.0,12.0,360.0
60,37.0,1.0,58.0,1.0,12.0,364.0
61,37.0,2.0,60.0,1.0,12.0,368.0
62,38.0,1.0,65.0,3.0,12.0,376.0
63,39.0,1.0,62.0,3.0,12.0,388.0
64,40.0,1.0,62.0,3.0,12.0,400.0
65,41.0,1.0,58.0,3.0,12.0,412.0
66,42.0,1.0,62.0,3.0,12.0,424.0
